Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:58.539000,SAI,55,0 days 00:02:05.608000,6.0,2.0,0 days 00:15:53.599000,,0 days 00:00:35.415000,0 days 00:00:35.038000,0 days 00:00:55.155000,0 days 00:16:28.346000,0 days 00:17:03.384000,0 days 00:17:58.539000,106.0,249.0,299.0,306.0,False,ULTRASOFT,1.0,True,Renault,0 days 00:15:52.931000,2018-06-23 14:11:52.997,,,False,,False,False
0 days 00:19:30.933000,SAI,55,0 days 00:01:32.394000,7.0,2.0,,,0 days 00:00:22.840000,0 days 00:00:28.317000,0 days 00:00:41.237000,0 days 00:18:21.379000,0 days 00:18:49.696000,0 days 00:19:30.933000,122.0,281.0,296.0,323.0,True,ULTRASOFT,2.0,True,Renault,0 days 00:17:58.539000,2018-06-23 14:13:58.605,,,False,,False,False
0 days 00:21:36.266000,SAI,55,0 days 00:02:05.333000,8.0,2.0,,,0 days 00:00:30.755000,0 days 00:00:40.456000,0 days 00:00:54.122000,0 days 00:20:01.688000,0 days 00:20:42.144000,0 days 00:21:36.266000,89.0,210.0,299.0,273.0,False,ULTRASOFT,3.0,True,Renault,0 days 00:19:30.933000,2018-06-23 14:15:30.999,,,False,,False,False
0 days 00:23:08.806000,SAI,55,0 days 00:01:32.540000,9.0,2.0,,,0 days 00:00:23.029000,0 days 00:00:28.335000,0 days 00:00:41.176000,0 days 00:21:59.295000,0 days 00:22:27.630000,0 days 00:23:08.806000,120.0,282.0,296.0,325.0,False,ULTRASOFT,4.0,True,Renault,0 days 00:21:36.266000,2018-06-23 14:17:36.332,,,False,,False,False
0 days 00:29:07.508000,SAI,55,,10.0,2.0,,0 days 00:24:55.526000,0 days 00:00:29.401000,0 days 00:00:33.135000,,0 days 00:23:38.227000,0 days 00:24:11.435000,,99.0,252.0,,282.0,False,ULTRASOFT,5.0,True,Renault,0 days 00:23:08.806000,2018-06-23 14:19:08.872,,,False,,False,False
0 days 00:31:02.205000,SAI,55,0 days 00:01:54.697000,11.0,3.0,0 days 00:29:08.363000,,0 days 00:00:31.343000,0 days 00:00:30.146000,0 days 00:00:53.208000,0 days 00:29:38.851000,0 days 00:30:08.997000,0 days 00:31:02.205000,112.0,271.0,300.0,291.0,False,ULTRASOFT,1.0,True,Renault,0 days 00:29:07.508000,2018-06-23 14:25:07.574,,,False,,False,False
0 days 00:32:34.428000,SAI,55,0 days 00:01:32.223000,12.0,3.0,,,0 days 00:00:22.961000,0 days 00:00:28.317000,0 days 00:00:40.945000,0 days 00:31:25.166000,0 days 00:31:53.483000,0 days 00:32:34.428000,120.0,286.0,301.0,329.0,True,ULTRASOFT,2.0,True,Renault,0 days 00:31:02.205000,2018-06-23 14:27:02.271,,,False,,False,False
0 days 00:40:57.370000,SAI,55,,13.0,3.0,,0 days 00:34:18.017000,0 days 00:00:27.840000,0 days 00:00:31.913000,,0 days 00:33:02.310000,0 days 00:33:34.186000,,95.0,260.0,,298.0,False,ULTRASOFT,3.0,True,Renault,0 days 00:32:34.428000,2018-06-23 14:28:34.494,1,,False,,False,False
0 days 00:42:50.290000,SAI,55,0 days 00:01:52.920000,14.0,4.0,0 days 00:40:58.004000,,0 days 00:00:30.353000,0 days 00:00:31.678000,0 days 00:00:50.889000,0 days 00:41:27.723000,0 days 00:41:59.401000,0 days 00:42:50.290000,110.0,268.0,301.0,313.0,False,ULTRASOFT,1.0,True,Renault,0 days 00:40:57.370000,2018-06-23 14:36:57.436,1,,False,,False,False
0 days 00:44:22.306000,SAI,55,0 days 00:01:32.016000,15.0,4.0,,,0 days 00:00:22.853000,0 days 00:00:28.165000,0 days 00:00:40.998000,0 days 00:43:13.143000,0 days 00:43:41.308000,0 days 00:44:22.306000,120.0,283.0,298.0,324.0,True,ULTRASOFT,2.0,True,Renault,0 days 00:42:50.290000,2018-06-23 14:38:50.356,1,,False,,False,True
0 days 00:52:12.244000,SAI,55,,16.0,4.0,,0 days 00:46:17.391000,0 days 00:00:28.637000,0 days 00:00:37.561000,,0 days 00:44:50.932000,0 days 00:45:28.513000,,88.0,253.0,,232.0,False,ULTRASOFT,3.0,True,Renault,0 days 00:44:22.306000,2018-06-23 14:40:22.372,1,,False,,False,False
0 days 00:54:12.820000,SAI,55,0 days 00:02:00.576000,17.0,5.0,0 days 00:52:12.908000,,0 days 00:00:32.124000,0 days 00:00:34.968000,0 days 00:00:53.484000,0 days 00:52:44.368000,0 days 00:53:19.336000,0 days 00:54:12.820000,100.0,264.0,301.0,287.0,False,ULTRASOFT,6.0,False,Renault,0 days 00:52:12.244000,2018-06-23 14:48:12.310,1,,False,,False,False
0 days 00:55:45.279000,SAI,55,0 days 00:01:32.459000,18.0,5.0,,,0 days 00:00:22.929000,0 days 00:00:28.306000,0 days 00:00:41.224000,0 days 00:54:35.749000,0 days 00:55:04.055000,0 days 00:55:45.279000,119.0,282.0,300.0,322.0,True,ULTRASOFT,7.0,False,Renault,0 days 00:54:12.820000,2018-06-23 14:50:12.886,1,,False,,False,True
0 days 01:06:35.830000,SAI,55,,19.0,5.0,,0 days 00:57:51.078000,,,,,,,,,,,False,ULTRASOFT,8.0,False,Renault,0 days 00:55:45.279000,2018-06-23 14:51:45.345,125,,False,,False,False
0 days 01:08:39.173000,SAI,55,0 days 00:02:03.343000,20.0,6.0,0 days 01:06:36.487000,,0 days 00:00:32.876000,0 days 00:00:39.830000,0 days 00:00:50.637000,0 days 01:07:08.706000,0 days 01:07:48.536000,0 days 01:08:39.173000,84.0,238.0,300.0,305.0,False,ULTRASOFT,1.0,True,Renault,0 days 01:06:36.487000,2018-06-23 15:02:36.553,1,,False,,False,False
0 days 01:10:11.299000,SAI,55,0 days 00:01:32.126000,21.0,6.0,,,0 days 00:00:22.897000,0 days 00:00:28.322000,0 days 00:00:40.907000,0 days 01:09:02.070000,0 days 01:09:30.392000,0 days 01:10:11.299000,120.0,283.0,297.0,323.0,True,ULTRASOFT,2.0,True,Renault,0 days 01:08:39.173000,2018-06-23 15:04:39.239,1,,False,,False,True
0 days 01:12:44.266000,SAI,55,,22.0,6.0,,0 days 01:12:08.869000,0 days 00:00:28.796000,0 days 00:00:35.986000,0 days 00:01:28.158000,0 days 01:10:40.150000,0 days 01:11:16.108000,0 days 01:12:44.277000,94.0,222.0,,186.0,False,ULTRASOFT,3.0,True,Renault,0 days 01:10:11.299000,2018-06-23 15:06:11.365,1,,False,,False,False
0 days 00:06:47.466000,LEC,16,0 days 00:02:13.188000,1.0,1.0,0 days 00:04:34.976000,,0 days 00:00:33.552000,0 days 00:00:34.375000,0 days 00:01:05.261000,0 days 00:05:07.901000,0 days 00:05:42.219000,0 days 00:06:47.580000,101.0,271.0,297.0,287.0,False,ULTRASOFT,1.0,True,Sauber,0 days 00:04:34.976000,2018-06-23 14:00:35.042,,,False,,False,False
0 days 00:08:20.523000,LEC,16,0 days 00:01:33.057000,2.0,1.0,,,0 days 00:00:23.421000,0 days 00:00:28.351000,0 days 00:00:41.285000,0 days 00:07:10.887000,0 days 00:07:39.238000,0 days 00:08:20.523000,114.0,284.0,298.0,325.0,True,ULTRASOFT,2.0,True,Sauber,0 days 00:06:47.466000,2018-06-23 14:02:47.532,,,False,,False,False
0 days 00:10:32.138000,LEC,16,0 days 00:02:11.615000,3.0,1.0,,,0 days 00:00:35.348000,0 days 00:00:37.175000,0 days 00:00:59.092000,0 days 00:08:55.871000,0 days 00:09:33.046000,0 days 00:10:32.138000,91.0,250.0,298.0,254.0,False,ULTRASOFT,3.0,True,Sauber,0 days 00:08:20.523000,2018-06-23 14:04:20.589,,,False,,False,False
