Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-09-26 13:31:12,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:31:11,,BLUE,Driver,,22,52.0
2021-09-26 13:31:46,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:31:46,,BLUE,Driver,,22,52.0
2021-09-26 13:31:52,Flag,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 16:31:51,,BLUE,Driver,,16,52.0
2021-09-26 13:32:12,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:32:11,,BLUE,Driver,,99,52.0
2021-09-26 13:32:27,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 13,,,,,16,52.0
2021-09-26 13:32:36,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:32:35,,BLUE,Driver,,22,53.0
2021-09-26 13:32:50,Other,TURN 9 INCIDENT INVOLVING CARS 18 (STR) AND 10 (GAS) - WILL BE INVESTIGATED AFTER THE RACE,,,,,,53.0
2021-09-26 13:33:39,Other,PIT ENTRY INCIDENT INVOLVING CAR 4 (NOR) - WILL BE INVESTIGATED AFTER THE RACE,,,,,,53.0
2021-09-26 13:33:46,Flag,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 16:33:46,,BLUE,Driver,,16,53.0
2021-09-26 13:34:26,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,53.0
2021-09-26 13:35:04,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:35:03,,BLUE,Driver,,99,53.0
2021-09-26 13:39:31,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,53.0
2021-09-26 13:39:37,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,53.0
