Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:14:54.678000,STR,18,0 days 00:01:15.964000,14.0,1.0,,,0 days 00:00:18.198000,0 days 00:00:33.927000,0 days 00:00:23.839000,0 days 01:13:56.949000,0 days 01:14:30.876000,0 days 01:14:54.715000,290.0,199.0,275.0,287.0,False,MEDIUM,14.0,True,Aston Martin,0 days 01:13:38.714000,2026-06-28 13:19:50.790,1,19.0,False,,False,True
0 days 01:16:10.504000,STR,18,0 days 00:01:15.826000,15.0,1.0,,,0 days 00:00:18.287000,0 days 00:00:33.722000,0 days 00:00:23.817000,0 days 01:15:13.002000,0 days 01:15:46.724000,0 days 01:16:10.541000,290.0,199.0,275.0,287.0,False,MEDIUM,15.0,True,Aston Martin,0 days 01:14:54.678000,2026-06-28 13:21:06.754,1,18.0,False,,False,True
0 days 01:17:27.144000,STR,18,0 days 00:01:16.640000,16.0,1.0,,,0 days 00:00:18.258000,0 days 00:00:34.528000,0 days 00:00:23.854000,0 days 01:16:28.799000,0 days 01:17:03.327000,0 days 01:17:27.181000,289.0,198.0,275.0,291.0,False,MEDIUM,16.0,True,Aston Martin,0 days 01:16:10.504000,2026-06-28 13:22:22.580,1,19.0,False,,False,True
0 days 01:18:42.827000,STR,18,0 days 00:01:15.683000,17.0,1.0,,,0 days 00:00:18.192000,0 days 00:00:33.785000,0 days 00:00:23.706000,0 days 01:17:45.373000,0 days 01:18:19.158000,0 days 01:18:42.864000,295.0,197.0,276.0,288.0,False,MEDIUM,17.0,True,Aston Martin,0 days 01:17:27.144000,2026-06-28 13:23:39.220,1,19.0,False,,False,True
0 days 01:19:58.706000,STR,18,0 days 00:01:15.879000,18.0,1.0,,,0 days 00:00:18.168000,0 days 00:00:33.925000,0 days 00:00:23.786000,0 days 01:19:01.032000,0 days 01:19:34.957000,0 days 01:19:58.743000,297.0,199.0,275.0,287.0,False,MEDIUM,18.0,True,Aston Martin,0 days 01:18:42.827000,2026-06-28 13:24:54.903,1,19.0,False,,False,True
0 days 01:21:15.221000,STR,18,0 days 00:01:16.515000,19.0,1.0,,,0 days 00:00:18.192000,0 days 00:00:34.311000,0 days 00:00:24.012000,0 days 01:20:16.935000,0 days 01:20:51.246000,0 days 01:21:15.258000,296.0,198.0,274.0,286.0,False,MEDIUM,19.0,True,Aston Martin,0 days 01:19:58.706000,2026-06-28 13:26:10.782,1,18.0,False,,False,True
0 days 01:22:31.672000,STR,18,0 days 00:01:16.451000,20.0,1.0,,,0 days 00:00:18.244000,0 days 00:00:34.026000,0 days 00:00:24.181000,0 days 01:21:33.502000,0 days 01:22:07.528000,0 days 01:22:31.709000,292.0,197.0,278.0,285.0,False,MEDIUM,20.0,True,Aston Martin,0 days 01:21:15.221000,2026-06-28 13:27:27.297,1,19.0,False,,False,True
0 days 01:23:48.719000,STR,18,0 days 00:01:17.047000,21.0,1.0,,,0 days 00:00:18.055000,0 days 00:00:35.021000,0 days 00:00:23.971000,0 days 01:22:49.764000,0 days 01:23:24.785000,0 days 01:23:48.756000,311.0,199.0,275.0,291.0,False,MEDIUM,21.0,True,Aston Martin,0 days 01:22:31.672000,2026-06-28 13:28:43.748,1,19.0,True,TRACK LIMITS AT TURN 3 LAP 21 ,False,True
0 days 01:25:05.055000,STR,18,0 days 00:01:16.336000,22.0,1.0,,,0 days 00:00:18.250000,0 days 00:00:33.920000,0 days 00:00:24.166000,0 days 01:24:07.006000,0 days 01:24:40.926000,0 days 01:25:05.092000,296.0,199.0,277.0,288.0,False,MEDIUM,22.0,True,Aston Martin,0 days 01:23:48.719000,2026-06-28 13:30:00.795,1,20.0,False,,False,True
0 days 01:26:22.324000,STR,18,0 days 00:01:17.269000,23.0,1.0,,,0 days 00:00:18.025000,0 days 00:00:35.270000,0 days 00:00:23.974000,0 days 01:25:23.117000,0 days 01:25:58.387000,0 days 01:26:22.361000,306.0,200.0,259.0,214.0,False,MEDIUM,23.0,True,Aston Martin,0 days 01:25:05.055000,2026-06-28 13:31:17.131,12,20.0,False,,False,True
0 days 01:27:59.402000,STR,18,0 days 00:01:37.078000,24.0,1.0,,0 days 01:27:54.886000,0 days 00:00:18.255000,0 days 00:00:43.617000,0 days 00:00:35.206000,0 days 01:26:40.616000,0 days 01:27:24.233000,0 days 01:27:59.439000,295.0,174.0,,196.0,False,MEDIUM,24.0,True,Aston Martin,0 days 01:26:22.324000,2026-06-28 13:32:34.400,26,19.0,False,,False,False
0 days 01:29:48.029000,STR,18,0 days 00:01:48.627000,25.0,2.0,0 days 01:28:18.228000,,0 days 00:00:39.788000,0 days 00:00:44.317000,0 days 00:00:24.522000,0 days 01:28:39.227000,0 days 01:29:23.544000,0 days 01:29:48.066000,141.0,175.0,278.0,195.0,False,SOFT,1.0,True,Aston Martin,0 days 01:27:59.402000,2026-06-28 13:34:11.478,671,19.0,False,,False,False
0 days 01:31:02.700000,STR,18,0 days 00:01:14.671000,26.0,2.0,,,0 days 00:00:18.317000,0 days 00:00:33.116000,0 days 00:00:23.238000,0 days 01:30:06.383000,0 days 01:30:39.499000,0 days 01:31:02.737000,315.0,202.0,277.0,293.0,True,SOFT,2.0,True,Aston Martin,0 days 01:29:48.029000,2026-06-28 13:36:00.105,1,19.0,False,,False,True
0 days 01:32:18.893000,STR,18,0 days 00:01:16.193000,27.0,2.0,,,0 days 00:00:19.209000,0 days 00:00:33.933000,0 days 00:00:23.051000,0 days 01:31:21.946000,0 days 01:31:55.879000,0 days 01:32:18.930000,264.0,205.0,278.0,292.0,False,SOFT,3.0,True,Aston Martin,0 days 01:31:02.700000,2026-06-28 13:37:14.776,1,19.0,False,,False,True
0 days 01:33:33.054000,STR,18,0 days 00:01:14.161000,28.0,2.0,,,0 days 00:00:17.861000,0 days 00:00:33.254000,0 days 00:00:23.046000,0 days 01:32:36.791000,0 days 01:33:10.045000,0 days 01:33:33.091000,293.0,201.0,277.0,286.0,True,SOFT,4.0,True,Aston Martin,0 days 01:32:18.893000,2026-06-28 13:38:30.969,1,19.0,False,,False,True
0 days 01:34:48.300000,STR,18,0 days 00:01:15.246000,29.0,2.0,,,0 days 00:00:18.159000,0 days 00:00:34.030000,0 days 00:00:23.057000,0 days 01:33:51.250000,0 days 01:34:25.280000,0 days 01:34:48.337000,241.0,201.0,280.0,287.0,False,SOFT,5.0,True,Aston Martin,0 days 01:33:33.054000,2026-06-28 13:39:45.130,1,19.0,False,,False,True
0 days 01:36:02.096000,STR,18,0 days 00:01:13.796000,30.0,2.0,,,0 days 00:00:17.905000,0 days 00:00:33.012000,0 days 00:00:22.879000,0 days 01:35:06.242000,0 days 01:35:39.254000,0 days 01:36:02.133000,293.0,204.0,277.0,288.0,True,SOFT,6.0,True,Aston Martin,0 days 01:34:48.300000,2026-06-28 13:41:00.376,1,19.0,False,,False,True
0 days 01:37:16.102000,STR,18,0 days 00:01:14.006000,31.0,2.0,,,0 days 00:00:17.919000,0 days 00:00:33.103000,0 days 00:00:22.984000,0 days 01:36:20.052000,0 days 01:36:53.155000,0 days 01:37:16.139000,295.0,203.0,278.0,287.0,False,SOFT,7.0,True,Aston Martin,0 days 01:36:02.096000,2026-06-28 13:42:14.172,1,19.0,False,,False,True
0 days 01:38:30.203000,STR,18,0 days 00:01:14.101000,32.0,2.0,,,0 days 00:00:17.919000,0 days 00:00:33.151000,0 days 00:00:23.031000,,0 days 01:38:07.209000,0 days 01:38:30.240000,293.0,201.0,278.0,286.0,False,SOFT,8.0,True,Aston Martin,0 days 01:37:16.102000,2026-06-28 13:43:28.178,1,19.0,False,,False,True
0 days 01:39:44.619000,STR,18,0 days 00:01:14.416000,33.0,2.0,,,0 days 00:00:17.963000,0 days 00:00:33.301000,0 days 00:00:23.152000,0 days 01:38:48.203000,0 days 01:39:21.504000,0 days 01:39:44.656000,292.0,201.0,279.0,284.0,False,SOFT,9.0,True,Aston Martin,0 days 01:38:30.203000,2026-06-28 13:44:42.279,1,19.0,False,,False,True
0 days 01:40:58.843000,STR,18,0 days 00:01:14.224000,34.0,2.0,,,0 days 00:00:17.920000,0 days 00:00:33.159000,0 days 00:00:23.145000,0 days 01:40:02.576000,0 days 01:40:35.735000,0 days 01:40:58.880000,297.0,203.0,279.0,284.0,False,SOFT,10.0,True,Aston Martin,0 days 01:39:44.619000,2026-06-28 13:45:56.695,1,19.0,False,,False,True
0 days 01:42:13.198000,STR,18,0 days 00:01:14.355000,35.0,2.0,,,0 days 00:00:17.940000,0 days 00:00:33.135000,0 days 00:00:23.280000,0 days 01:41:16.820000,0 days 01:41:49.955000,0 days 01:42:13.235000,297.0,202.0,279.0,288.0,False,SOFT,11.0,True,Aston Martin,0 days 01:40:58.843000,2026-06-28 13:47:10.919,1,19.0,False,,False,True
